This table is from zone_settings sql. zoneip and zoneport are the default values, and will be adjusted if your server separates the zones across different computers.
zoneid 	zonetype 	zoneip 	zoneport 	name 	music_day 	music_night 	battlesolo 	battlemulti 	restriction 	tax 	misc
268 	3 	127.0.0.1 	54230 	Sih_Gates 	0 	0 	57 	57 	0 	0 	0
269 	3 	127.0.0.1 	54230 	Moh_Gates 	0 	0 	57 	57 	0 	0 	0
270 	3 	127.0.0.1 	54230 	Cirdas_Caverns 	0 	0 	57 	57 	0 	0 	0
271 	6 	127.0.0.1 	54230 	Cirdas_Caverns_U 	62 	62 	62 	62 	0 	0 	0
272 	3 	127.0.0.1 	54230 	Dho_Gates 	0 	0 	57 	57 	0 	0 	0
273 	3 	127.0.0.1 	54230 	Woh_Gates 	0 	0 	57 	57 	0 	0 	0
274 	3 	127.0.0.1 	54230 	Outer_RaKaznar 	73 	73 	57 	57 	0 	0 	0
275 	0 	127.0.0.1 	54230 	Outer_RaKaznar_U 	62 	62 	62 	62 	0 	0 	0
276 	0 	127.0.0.1 	54230 	RaKaznar_Inner_Court 	73 	73 	57 	57 	0 	0 	0
277 	0 	127.0.0.1 	54230 	RaKaznar_Turris 	0 	0 	0 	0 	0 	0 	0
278 	0 	127.0.0.1 	0 	278 	0 	0 	0 	0 	0 	0 	0
279 	0 	127.0.0.1 	0 	279 	0 	0 	0 	0 	0 	0 	0
280 	1 	127.0.0.1 	54230 	Mog_Garden 	67 	67 	67 	67 	0 	0 	32
281 	0 	127.0.0.1 	54230 	Leafallia 	0 	0 	0 	0 	0 	0 	0
282 	0 	127.0.0.1 	54230 	Mount_Kamihr 	0 	0 	0 	0 	0 	0 	0
283 	0 	127.0.0.1 	54230 	Silver_Knife 	0 	0 	0 	0 	0 	0 	0
284 	1 	127.0.0.1 	54230 	Celennia_Memorial_Library 	63 	63 	0 	0 	0 	0 	0
285 	1 	127.0.0.1 	54230 	Feretory 	0 	0 	0 	0 	0 	0 	32
286 	0 	127.0.0.1 	0 	286 	0 	0 	0 	0 	0 	0 	0
287 	0 	127.0.0.1 	0 	287 	0 	0 	0 	0 	0 	0 	0
288 	2 	127.0.0.1 	54230 	Escha_ZiTah 	80 	80 	80 	80 	0 	0 	0
289 	2 	127.0.0.1 	54230 	Escha_RuAun 	80 	80 	80 	80 	0 	0 	0
290 	0 	127.0.0.1 	54230 	Desuetia_Empyreal_Paradox 	0 	0 	0 	0 	0 	0 	128
291 	0 	127.0.0.1 	54230 	Reisenjima 	79 	79 	79 	79 	0 	0 	128
292 	0 	127.0.0.1 	54230 	Reisenjima_Henge 	0 	0 	0 	0 	0 	0 	0
293 	0 	127.0.0.1 	54230 	Reisenjima_Sanctorium 	0 	0 	0 	0 	0 	0 	128
294 	5 	127.0.0.1 	54230 	Dynamis-San_dOria_[D] 	88 	88 	88 	88 	0 	0 	400
295 	5 	127.0.0.1 	54230 	Dynamis-Bastok_[D] 	88 	88 	88 	88 	0 	0 	400
296 	5 	127.0.0.1 	54230 	Dynamis-Windurst_[D] 	88 	88 	88 	88 	0 	0 	400
297 	5 	127.0.0.1 	54230 	Dynamis-Jeuno_[D] 	88 	88 	88 	88 	0 	0 	400
Retrieved from "https://wiki.dspt.info/index.php?title=Zone_IDs&oldid=22780" 
